Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"Feb 4th, 2013",ANDERSON SILVA,JON JONES,GEORGES ST-PIERRE,JOSE ALDO,BENSON HENDERSON,CAIN VELASQUEZ,DOMINICK CRUZ,DEMETRIOUS JOHNSON,FRANKIE EDGAR,DAN HENDERSON,,,,,,,
"Feb 11th, 2013",ANDERSON SILVA,JON JONES,GEORGES ST-PIERRE,JOSE ALDO,BENSON HENDERSON,CAIN VELASQUEZ,DOMINICK CRUZ,DEMETRIOUS JOHNSON,FRANKIE EDGAR,DAN HENDERSON,,,,,,,
"Feb 18th, 2013",ANDERSON SILVA,JON JONES,GEORGES ST-PIERRE,JOSE ALDO,BENSON HENDERSON,CAIN VELASQUEZ,DOMINICK CRUZ,DEMETRIOUS JOHNSON,RENAN BARAO,DAN HENDERSON,,,,,,,
"Feb 25th, 2013",ANDERSON SILVA,JON JONES,GEORGES ST-PIERRE,JOSE ALDO,BENSON HENDERSON,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,DOMINICK CRUZ,RENAN BARAO,FRANKIE EDGAR,,,,,,,
"Mar 4th, 2013",ANDERSON SILVA,JON JONES,GEORGES ST-PIERRE,JOSE ALDO,BENSON HENDERSON,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,RENAN BARAO,DOMINICK CRUZ,FRANKIE EDGAR,,,,,,,
"Mar 18th, 2013",ANDERSON SILVA,JON JONES,GEORGES ST-PIERRE,JOSE ALDO,BENSON HENDERSON,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,RENAN BARAO,DOMINICK CRUZ,FRANKIE EDGAR,,,,,,,
"Apr 8th, 2013",ANDERSON SILVA,JON JONES,GEORGES ST-PIERRE,JOSE ALDO,BENSON HENDERSON,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,RENAN BARAO,DOMINICK CRUZ,FRANKIE EDGAR,,,,,,,
"Apr 15th, 2013",ANDERSON SILVA,JON JONES,GEORGES ST-PIERRE,JOSE ALDO,BENSON HENDERSON,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,RENAN BARAO,DOMINICK CRUZ,FRANKIE EDGAR,,,,,,,
"Apr 22nd, 2013",ANDERSON SILVA,JON JONES,GEORGES ST-PIERRE,JOSE ALDO,BENSON HENDERSON,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,RENAN BARAO,DOMINICK CRUZ,FRANKIE EDGAR,,,,,,,
"Apr 29th, 2013",ANDERSON SILVA,JON JONES,GEORGES ST-PIERRE,JOSE ALDO,BENSON HENDERSON,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,RENAN BARAO,DOMINICK CRUZ,FRANKIE EDGAR,,,,,,,
"May 28th, 2013",ANDERSON SILVA,JON JONES,GEORGES ST-PIERRE,JOSE ALDO,BENSON HENDERSON,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,RENAN BARAO,DOMINICK CRUZ,FRANKIE EDGAR,,,,,,,
"Jun 10th, 2013",ANDERSON SILVA,JON JONES,GEORGES ST-PIERRE,JOSE ALDO,BENSON HENDERSON,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,RENAN BARAO,DOMINICK CRUZ,FRANKIE EDGAR,,,,,,,
"Jun 18th, 2013",ANDERSON SILVA,JON JONES,GEORGES ST-PIERRE,JOSE ALDO,BENSON HENDERSON,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,RENAN BARAO,DOMINICK CRUZ,FRANKIE EDGAR,,,,,,,
"Jul 8th, 2013",JON JONES,GEORGES ST-PIERRE,ANDERSON SILVA,JOSE ALDO,BENSON HENDERSON,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,RENAN BARAO,DOMINICK CRUZ,CHRIS WEIDMAN,,,,,,,
"Jul 29th, 2013",JON JONES,GEORGES ST-PIERRE,ANDERSON SILVA,JOSE ALDO,BENSON HENDERSON,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,RENAN BARAO,CHRIS WEIDMAN,DOMINICK CRUZ,,,,,,,
"Aug 5th, 2013",JON JONES,GEORGES ST-PIERRE,ANDERSON SILVA,JOSE ALDO,BENSON HENDERSON,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,RENAN BARAO,DOMINICK CRUZ,CHRIS WEIDMAN,,,,,,,
"Aug 19th, 2013",JON JONES,GEORGES ST-PIERRE,ANDERSON SILVA,JOSE ALDO,CAIN VELASQUEZ,BENSON HENDERSON,DEMETRIOUS JOHNSON,RENAN BARAO,CHRIS WEIDMAN,DOMINICK CRUZ,,,,,,,
"Aug 30th, 2013",JON JONES,GEORGES ST-PIERRE,ANDERSON SILVA,JOSE ALDO,CAIN VELASQUEZ,BENSON HENDERSON,DEMETRIOUS JOHNSON,RENAN BARAO,CHRIS WEIDMAN,DOMINICK CRUZ,,,,,,,
"Sep 2nd, 2013",JON JONES,GEORGES ST-PIERRE,JOSE ALDO,ANDERSON SILVA,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,RENAN BARAO,ANTHONY PETTIS,CHRIS WEIDMAN,BENSON HENDERSON,,,,,,,
"Sep 6th, 2013",JON JONES,GEORGES ST-PIERRE,ANDERSON SILVA,JOSE ALDO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,RENAN BARAO,ANTHONY PETTIS,CHRIS WEIDMAN,BENSON HENDERSON,,,,,,,
"Sep 23rd, 2013",JON JONES,GEORGES ST-PIERRE,JOSE ALDO,ANDERSON SILVA,CAIN VELASQUEZ,RENAN BARAO,DEMETRIOUS JOHNSON,ANTHONY PETTIS,CHRIS WEIDMAN,BENSON HENDERSON,,,,,,,
"Oct 11th, 2013",JON JONES,GEORGES ST-PIERRE,ANDERSON SILVA,JOSE ALDO,CAIN VELASQUEZ,RENAN BARAO,DEMETRIOUS JOHNSON,ANTHONY PETTIS,CHRIS WEIDMAN,BENSON HENDERSON,,,,,,,
"Oct 21st, 2013",JON JONES,GEORGES ST-PIERRE,JOSE ALDO,ANDERSON SILVA,CAIN VELASQUEZ,RENAN BARAO,DEMETRIOUS JOHNSON,ANTHONY PETTIS,CHRIS WEIDMAN,BENSON HENDERSON,,,,,,,
"Oct 28th, 2013",JON JONES,GEORGES ST-PIERRE,JOSE ALDO,ANDERSON SILVA,CAIN VELASQUEZ,RENAN BARAO,DEMETRIOUS JOHNSON,ANTHONY PETTIS,CHRIS WEIDMAN,BENSON HENDERSON,,,,,,,
"Nov 8th, 2013",JON JONES,GEORGES ST-PIERRE,JOSE ALDO,ANDERSON SILVA,CAIN VELASQUEZ,RENAN BARAO,DEMETRIOUS JOHNSON,ANTHONY PETTIS,CHRIS WEIDMAN,BENSON HENDERSON,,,,,,,
